review	Liked
wow loved place	1
crust good	0
tasty texture wa nasty	0
stopped late may bank holiday rick steve recommendation loved	1
selection menu wa great price	1
getting angry want damn pho	0
honeslty taste fresh	0
potato like rubber could tell made ahead time kept warmer	0
fry great	1
great touch	1
service wa prompt	1
would go back	0
cashier care ever say still ended wayyy overpriced	0
tried cape cod ravoli chicken cranberry mmmm	1
wa disgusted wa pretty sure wa human hair	0
wa shocked sign indicate cash	0
highly recommended	1
waitress wa little slow service	0
place worth time let alone vega	0
like	0
burrittos blah	0
food amazing	1
service also cute	1
could care le interior beautiful	1
performed	1
right red velvet cake ohhh stuff good	1
never brought salad asked	0
hole wall ha great mexican street taco friendly staff	1
took hour get food table restaurant food wa luke warm sever wa running around like wa totally overwhelmed	0
worst wa salmon sashimi	0
also combo like burger fry beer decent deal	1
wa like final blow	0
found place accident could happier	1
seems like good quick place grab bite familiar pub food favor look elsewhere	0
overall like place lot	1
redeeming quality restaurant wa wa inexpensive	1
ample portion good price	1
poor service waiter made feel like wa stupid every time came table	0
first visit hiro wa delight	1
service suck	0
shrimp tender moist	1
deal good enough would drag establishment	0
hard judge whether side good grossed melted styrofoam want eat fear getting sick	0
positive note server wa attentive provided great service	1
frozen puck disgust worst people behind register	0
thing like wa prime rib dessert section	1
bad food damn generic	0
burger good beef cooked right	1
want sandwich go firehouse	1
side greek salad greek dressing wa tasty pita hummus wa refreshing	1
ordered duck rare wa pink tender inside nice char outside	1
came running u realized husband left sunglass table	1
chow mein good	1
horrible attitude towards customer talk one customer enjoy food	0
portion wa huge	1
loved friendly server great food wonderful imaginative menu	1
heart attack grill downtown vega absolutely flat lined excuse restaurant	0
much seafood like string pasta bottom	0
salad right amount sauce power scallop wa perfectly cooked	1
ripped banana wa ripped petrified tasteless	0
least think refill water struggle wave minute	0
place receives star appetizer	1
cocktail handmade delicious	1
definitely go back	1
glad found place	1
great food service huge portion give military discount	1
always great time gringo	1
update went back second time wa still amazing	1
got food apparently never heard salt batter fish wa chewy	0
great way finish great	1
deal included tasting drink jeff went beyond expected	1
really really good rice time	1
service wa meh	0
took min get milkshake wa nothing chocolate milk	0
guess known place would suck inside excalibur use common sense	0
scallop dish quite appalling value well	0
time bad customer service	0
sweet potato fry good seasoned well	1
today second time lunch buffet wa pretty good	1
much good food vega feel cheated wasting eating opportunity going rice company	0
coming like experiencing underwhelming relationship party wait person ask break	0
walked place smelled like old grease trap others eating	0
turkey roast beef bland	0
place ha	1
pan cake everyone raving taste like sugary disaster tailored palate six year old	0
love pho spring roll oh yummy try	1
poor batter meat ratio made chicken tender unsatisfying	0
say food wa amazing	1
omelet die	1
everything wa fresh delicious	1
summary wa largely disappointing dining experience	0
like really sexy party mouth outrageously flirting hottest person party	1
never hard rock casino never ever step forward	0
best breakfast buffet	1
say bye bye tip lady	0
never go	0
back	1
food arrived quickly	1
wa good	0
side cafe serf really good food	1
server wa fantastic found wife love roasted garlic bone marrow added extra meal another marrow go	1
good thing wa waiter wa helpful kept bloddy mary coming	1
best buffet town price cannot beat	1
loved mussel cooked wine reduction duck wa tender potato dish delicious	1
one better buffet	1
went tigerlilly fantastic afternoon	1
food wa delicious bartender wa attentive personable got great deal	1
ambience wonderful music playing	1
go back next trip	1
sooooo good	1
real sushi lover let honest yama good	0
least min passed u ordering food arriving busy	0
really fantastic thai restaurant definitely worth visit	1
nice spicy tender	1
good price	1
check	1
wa pretty gross	0
better atmosphere	0
