review	Liked
wow love thi place	1
crust good	0
tasti textur wa nasti	0
stop dure late may bank holiday rick steve recommend love	1
select menu wa great price	1
get angri want damn pho	0
honeslti tast fresh	0
potato like rubber could tell made ahead time kept warmer	0
fri great	1
great touch	1
servic wa veri prompt	1
would go back	0
cashier care ever say still end wayyy overpr	0
tri cape cod ravoli chicken cranberri mmmm	1
wa disgust becaus wa pretti sure wa human hair	0
wa shock becaus sign indic cash onli	0
highli recommend	1
waitress wa littl slow servic	0
thi place worth time let alon vega	0
like	0
burritto blah	0
food amaz	1
servic also cute	1
could care less interior beauti	1
perform	1
right red velvet cake ohhh thi stuff good	1
never brought salad ask	0
thi hole wall ha great mexican street taco friendli staff	1
took hour get food onli tabl restaur food wa luke warm sever wa run around like wa total overwhelm	0
worst wa salmon sashimi	0
also combo like burger fri beer decent deal	1
thi wa like final blow	0
found thi place accid could happier	1
seem like good quick place grab bite familiar pub food favor look elsewher	0
overal like thi place lot	1
onli redeem qualiti restaur wa wa veri inexpens	1
ampl portion good price	1
poor servic waiter made feel like wa stupid everi time came tabl	0
first visit hiro wa delight	1
servic suck	0
shrimp tender moist	1
deal good enough would drag establish	0
hard judg whether side good becaus gross melt styrofoam want eat fear get sick	0
posit note server wa veri attent provid great servic	1
frozen puck disgust worst peopl behind regist	0
onli thing like wa prime rib dessert section	1
bad food damn gener	0
burger good beef cook right	1
want sandwich go ani firehous	1
side greek salad greek dress wa tasti pita hummu wa veri refresh	1
order duck rare wa pink tender insid nice char outsid	1
came run us realiz husband left hi sunglass tabl	1
chow mein good	1
horribl attitud toward custom talk one custom enjoy food	0
portion wa huge	1
love friendli server great food wonder imagin menu	1
heart attack grill downtown vega absolut flat line excus restaur	0
much seafood like string pasta bottom	0
salad right amount sauc power scallop wa perfectli cook	1
rip banana wa onli rip petrifi tasteless	0
least think refil water befor struggl wave minut	0
thi place receiv star appet	1
cocktail handmad delici	1
definit go back	1
glad found thi place	1
great food servic huge portion give militari discount	1
alway great time gringo	1
updat went back second time wa still amaz	1
got food appar never heard salt batter fish wa chewi	0
great way finish great	1
deal includ tast drink jeff went abov beyond expect	1
realli realli good rice time	1
servic wa meh	0
took min get milkshak wa noth chocol milk	0
guess known thi place would suck becaus insid excalibur use common sens	0
scallop dish quit appal valu well	0
time veri bad custom servic	0
sweet potato fri veri good season well	1
today second time lunch buffet wa pretti good	1
much good food vega feel cheat wast eat opportun go rice compani	0
come like experienc underwhelm relationship parti wait person ask break	0
walk place smell like old greas trap onli eat	0
turkey roast beef bland	0
thi place ha	1
pan cake everyon rave tast like sugari disast tailor palat six year old	0
love pho spring roll oh yummi tri	1
poor batter meat ratio made chicken tender veri unsatisfi	0
say food wa amaz	1
omelet die	1
everyth wa fresh delici	1
summari thi wa larg disappoint dine experi	0
like realli sexi parti mouth outrag flirt hottest person parti	1
never hard rock casino befor never ever step forward	0
best breakfast buffet	1
say bye bye tip ladi	0
never go	0
back	1
food arriv quickli	1
wa good	0
side cafe serv realli good food	1
server wa fantast found wife love roast garlic bone marrow ad extra meal anoth marrow go	1
onli good thing wa waiter wa veri help kept bloddi mari come	1
best buffet town price cannot beat	1
love mussel cook thi wine reduct duck wa tender potato dish delici	1
thi one better buffet	1
went tigerlilli fantast afternoon	1
food wa delici bartend wa attent person got great deal	1
ambienc wonder music play	1
go back next trip	1
sooooo good	1
real sushi lover let honest yama good	0
least min pass us order food arriv busi	0
thi realli fantast thai restaur definit worth visit	1
nice spici tender	1
good price	1
check	1
wa pretti gross	0
better atmospher	0
kind hard mess steak	0
although veri much like look sound thi place actual experi wa bit disappoint	0
know thi place manag serv blandest food ever eaten prepar indian cuisin	0
worst servic boot least worri	0
servic wa fine waitress wa friendli	1
guy steak steak love son ha steak best worst place said wa best steak ever eaten	1
thought ventur away get good sushi thi place realli hit spot night	1
host staff lack better word bitch	0
bland like thi place number reason want wast time bad review leav	0
phenomen food servic ambianc	1
return	0
definit worth ventur strip pork belli return next time vega	1
thi place way overpr mediocr food	0
penn vodka excel	1
good select food includ massiv meatloaf sandwich crispi chicken wrap delish tuna melt tasti burger	1
manag rude	0
delici nyc bagel good select cream chees real lox caper even	1
great subway fact good come everi subway meet expect	1
serious solid breakfast	1
thi one best bar food vega	1
wa extrem rude realli mani restaur would love dine dure weekend vega	0
drink wa never empti made realli great menu suggest	1
	0
waiter help friendli rare check us	0
husband ate lunch veri disappoint food servic	0
red curri much bamboo shoot veri tasti	0
nice blanket moz top feel like thi wa done cover subpar food	1
bathroom clean place well decor	1
menu alway chang food qualiti go servic extrem slow	0
servic wa littl slow consid serv peopl server food wa come slow pace	0
give thumb	0
watch waiter pay lot attent tabl ignor us	0
fianc came middl day greet seat right away	1
thi great restaur mandalay bay	1
wait forti five minut vain	0
crostini came salad wa stale	0
highlight great qualiti nigiri	1
staff friendli joint alway clean	1
thi wa differ cut piec day still wonder tender well well flavor	1
order voodoo pasta wa first time realli excel pasta sinc go gluten free sever year ago	1
thi place good	1
unfortun must hit bakeri leftov day becaus everyth order wa stale	0
came back today sinc reloc still impress	0
wa seat immedi	1
menu divers reason price	1
avoid cost	0
restaur alway full never wait	1
delici	1
thi place hand one best place eat phoenix metro area	1
go look good food	0
never treat bad	0
bacon hella salti	1
also order spinach avocado salad ingredi sad dress liter zero tast	0
thi realli vega fine dine use right menu hand ladi price list	1
waitress veri friendli	1
lordi khao soi dish miss curri lover	1
everyth menu terrif also thrill made amaz accommod vegetarian daughter	1
perhap caught night judg review inspir go back	0
servic leav lot desir	0
atmospher modern hip maintain touch cozi	1
weekli haunt definit place come back everi onc	1
liter sat minut one ask take order	0
burger absolut flavor meat wa total bland burger wa overcook wa charcoal flavor	0
also decid send back becaus waitress look like wa verg heart attack	0
dress treat rude	0
wa probabl dirt	0
love thi place hit spot want someth healthi lack quantiti flavor	1
order lemon raspberri ice cocktail wa also incred	1
food suck expect suck could imagin	0
interest decor	1
realli like crepe station	1
also serv hot bread butter home made potato chip bacon bit top veri origin veri good	1
watch prepar delici food	1
egg roll fantast	1
order arriv one gyro wa miss	0
salad wing ice cream dessert left feel quit satisfi	1
realli sure joey wa vote best hot dog valley reader phoenix magazin	0
best place go tasti bowl pho	1
live music friday total blow	0
never insult felt disrespect	0
veri friendli staff	1
worth drive	1
heard good thing thi place exceed everi hope could dream	1
food wa great wa serivc	1
warm beer help	0
great brunch spot	1
servic friendli invit	1
veri good lunch spot	1
live sinc thi wa first last time step foot thi place	0
worst experi ever	0
must night thi place	0
side delish mix mushroom yukon gold pure white corn beateou	1
bug never show would given sure side wall thi bug wa climb wa kitchen	0
minut wait salad realiz come ani time soon	0
friend love salmon tartar	1
go back	0
extrem tasti	1
waitress wa good though	1
soggi good	0
jamaican mojito delici	1
small worth price	0
food rich order accordingli	1
shower area outsid onli rins take full shower unless mind nude everyon see	0
servic wa bit lack	0
lobster bisqu bussel sprout risotto filet need salt pepper cours none tabl	0
hope thi bode go busi someon cook come	0
wa either cold enough flavor bad	0
love bacon wrap date	1
thi unbeliev bargain	1
folk otto alway make us feel welcom special	1
main also uninspir	0
thi place first pho wa amaz	1
thi wonder experi made thi place must stop whenev town	1
food bad enough enjoy deal world worst annoy drunk peopl	0
veri veri fun chef	1
order doubl cheeseburg got singl patti wa fall apart pictur upload yeah still suck	0
great place coupl drink watch ani sport event wall cover tv	1
possibl give zero star	0
descript said yum yum sauc anoth said eel sauc yet anoth said spici mayo well none roll sauc	0
say would hardest decis honestli dish tast suppos tast amaz	1
roll eye may stay sure go back tri	0
everyon veri attent provid excel custom servic	1
horribl wast time money	0
thi dish wa quit flavour	1
thi time side restaur wa almost empti wa excus	0
busi either also build wa freez cold	0
like review said pay eat thi place	0
drink took close minut come one point	0
serious flavor delight folk	1
much better ayc sushi place went vega	1
light dark enough set mood	1
base sub par servic receiv effort show gratitud busi go back	0
owner realli great peopl	1
noth privileg work eat	0
greek dress wa veri creami flavor	1
overal think would take parent thi place becaus made similar complaint silent felt	0
pizza wa good peanut sauc wa veri tasti	1
tabl servic wa pretti fast	1
fantast servic	1
well would given godfath zero star possibl	0
know make	1
veri tough veri short flavor	0
hope thi place stick around	1
bar vega ever recal charg tap water	0
restaur atmospher wa exquisit	1
good servic veri clean inexpens boot	1
seafood wa fresh gener portion	1
plu onli buck	1
servic wa par either	0
thu far onli visit twice food wa absolut delici time	1
good year ago	1
self proclaim coffe cafe wa wildli disappoint	0
veggitarian platter thi world	1
cant go wrong ani food	1
beat	1
stop thi place madison ironman veri friendli kind staff	1
chef friendli good job	1
better onli dedic boba tea spot even jenni pho	0
like patio servic wa outstand	1
goat taco skimp meat wow flavor	1
think	0
mac salad wa pretti bland get	0
went bachi burger friend recommend wa disappoint	1
servic stink	0
wait wait	0
thi place qualiti sushi qualiti restaur	0
would definit recommend wing well pizza	1
great pizza salad	1
thing went wrong burn saganaki	0
wait hour wa breakfast could done time better home	0
thi place amaz	1
hate disagre fellow yelper husband disappoint thi place	0
wait hour never got either pizza mani around us came later	0
know whi slow	0
staff great food delish incred beer select	1
live neighborhood disappoint back becaus conveni locat	0
know pull pork could soooo delici	1
get incred fresh fish prepar care	1
befor go whi gave star rate pleas know thi wa third time eat bachi burger befor write review	0
love fact everyth menu worth	1
never dine thi place	0
food wa excel servic wa veri good	1
good beer drink select good food select	1
pleas stay away shrimp stir fri noodl	0
potato chip order wa sad could probabl count mani chip box wa probabl around	0
food wa realli bore	0
good servic check	1
thi greedi corpor never see anoth dime	0
never ever go back	0
much like go back get pass atroci servic never return	0
summer dine charm outdoor patio veri delight	1
expect thi good	1
fantast food	1
order toast english muffin came untoast	0
food wa veri good	1
never go back	0
great food price veri high qualiti hous made	1
bu boy hand wa rude	0
thi point friend basic figur thi place wa joke mind make publicli loudli known	0
back good bbq lighter fare reason price tell public back old way	1
consid two us left veri full happi go wrong	1
bread made hous	1
onli downsid servic	0
also fri without doubt worst fri ever	0
servic wa except food wa good review	1
coupl month later return amaz meal	1
favorit place town shawarrrrrrma	1
black eye pea sweet potato unreal	1
disappoint	1
could serv vinaigrett may make better overal dish wa still veri good	1
go far mani place never seen ani restaur serv egg breakfast especi	0
mom got home immedi got sick onli bite salad	0
server pleasant deal alway honor pizza hut coupon	0
truli unbeliev good glad went back	1
fantast servic pleas atmospher	1
everyth wa gross	0
love thi place	1
great servic food	1
first bathroom thi locat dirti seat cover replenish plain yucki	0
burger got gold standard burger wa kind disappoint	0
omg food wa delicioso	1
noth authent thi place	0
spaghetti noth special whatsoev	0
dish salmon wa best great	1
veget fresh sauc feel like authent thai	1
worth drive tucson	1
select wa probabl worst seen vega wa none	0
pretti good beer select	1
thi place like chipotl better	1
classi warm atmospher fun fresh appet succul steak basebal steak	1
star brick oven bread app	1
eaten multipl time time food wa delici	1
sat anoth ten minut final gave left	0
wa terribl	0
everyon treat equal special	1
take min pancak egg	0
wa delici	1
good side staff wa genuin pleasant enthusiast real treat	1
sadli gordon ramsey steak place shall sharpli avoid dure next trip vega	0
alway even wa wonder food delici	1
best fish ever life	1
bathroom next door veri nice	1
buffet small food offer wa bland	0
thi outstand littl restaur best food ever tast	1
pretti cool would say	1
definit turn doubt back unless someon els buy	0
server great job handl larg rowdi tabl	1
find wast food despic thi food	0
wife lobster bisqu soup wa lukewarm	0
would come back sushi crave vega	1
staff great ambianc great	1
deserv star	1
left stomach ach felt sick rest day	0
drop ball	0
dine space tini elegantli decor comfort	1
custom order ani way like usual eggplant green bean stir fri love	1
bean rice mediocr best	0
best taco town far	1
took back money got outta	0
interest part town thi place amaz	1
rude inconsider manag	0
staff friendli wait time serv horribl one even say hi first minut	0
back	0
great dinner	1
servic wa outshin definit recommend halibut	1
food wa terribl	0
never ever go back told mani peopl happen	0
recommend unless car break front starv	0
come back everi time vega	1
thi place deserv one star ha food	0
thi disgrac	0
def come back bowl next time	1
want healthi authent ethic food tri thi place	1
continu come ladi night andddd date night highli recommend thi place anyon area	1
sever time past experi ha alway great	1
walk away stuf happi first vega buffet experi	1
servic wa excel price pretti reason consid thi vega locat insid crystal shop mall aria	1
summar food wa incred nay transcend noth bring joy quit like memori pneumat condiment dispens	1
probabl one peopl ever go ian like	0
kid pizza alway hit lot great side dish option kiddo	1
servic perfect famili atmospher nice see	1
cook perfect servic wa impecc	1
thi one simpli disappoint	0
overal wa veri disappoint qualiti food bouchon	0
account know get screw	0
great place eat remind littl mom pop shop san francisco bay area	1
today wa first tast buldogi gourmet hot dog tell wa ever thought possibl	1
left veri frustrat	0
definit soon	1
food wa realli good got full petti fast	1
servic wa fantast	1
total wast time	0
know kind best ice tea	1
come hungri leav happi stuf	1
servic give star	0
assur disappoint	1
take littl bad servic food suck	0
gave tri eat ani crust teeth still sore	0
wa complet gross	0
realli enjoy eat	1
first time go think quickli becom regular	1
server wa veri nice even though look littl overwhelm need stay profession friendli end	1
dinner companion told everyth wa veri fresh nice textur tast	1
ground right next tabl wa larg smear step track everywher pile green bird poop	0
furthermor even find hour oper websit	0
tri like thi place time think done	0
mistak wa	0
complaint	1
thi serious good pizza expert connisseur topic	1
waiter wa jerk	0
strike want rush	0
nicest restaur owner ever come across	1
never come	0
love biscuit	1
servic quick friendli	1
order appet took minut pizza anoth minut	0
absolutley fantast	1
wa huge awkward lb piec cow wa th gristl fat	0
definit come back	1
like steiner becaus dark feel like bar	1
wow veri spici delici	1
familiar check	1
take busi dinner dollar elsewher	0
love go back	1
anyway thi fs restaur ha wonder breakfast lunch	1
noth special	0
day week differ deal delici	1
mention combin pear almond bacon big winner	1
back	0
sauc wa tasteless	0
food delici spici enough sure ask spicier prefer way	1
ribey steak wa cook perfectli great mesquit flavor	1
think go back anytim soon	0
food wa gooodd	1
